Complete Game Pass Master List by u/ABattleVet,531,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Hell Let Loose,Xbox / PC,Yes,Active,Jan 2024,,1.91,Jun 2019,4.58,79,30,Action / First-Person Shooter / Vehicular Combat,Exclusive,,,,
Close to the Sun,Xbox / PC,Yes,Active,Jan 2024,,1.97,Oct 2019,4.18,66,4,Adventure,,,,,
Far Cry 6,Xbox / PC,Yes,Active,Dec 2023,,2.60,Oct 2021,2.19,73,24,First-Person Shooter,,Ubisoft Connect launcher,,,
Tin Hearts,Xbox / PC,Yes,Active,Dec 2023,,2.66,Nov 2018,5.10,66,31,Puzzle,,,,,
Against the Storm,PC,,Active,Dec 2023,,2.79,Oct 2021,2.14,90,93,Strategy,,,,,
Goat Simulator 3,Xbox / PC,Yes,Active,Dec 2023,,2.83,Nov 2022,1.05,68,8,Simulation,Exclusive,,,,
Clone Drone in the Danger Zone,Xbox / PC,Yes,Active,Dec 2023,,2.89,Nov 2016,7.02,82,2,Action / Simulation / Fighting / Brawler,Exclusive,,,,
Rise of the Tomb Raider,Xbox / PC,Yes,Active,Dec 2023,,2.89,Nov 2015,8.07,86,14,Shooter / Action-Adventure,,"Returning title: Joined 3/1/18, left 5/15/20",,,
While the Iron's Hot,Xbox / PC,Yes,Active,Dec 2023,,2.89,Dec 2023,0.00,63,17,Adventure / Puzzle,,,,,
World War Z: Aftermath,Xbox / PC,Yes,Active,Dec 2023,,2.89,Apr 2019,4.64,73,7,Action,,"Returning title: Joined 10/10/19, left 8/31/22 (original game)",M,"Blood and Gore, Intense Violence, Strong Language",
Spirit of the North,Xbox / PC,Yes,Active,Dec 2023,,3.02,Nov 2019,4.08,64,5,Platformer / Action-Adventure,,,,,
SteamWorld Build,Xbox / PC,Yes,Active,Dec 2023,,3.02,Dec 2023,0.00,74,9,Strategy / Simulation,,,,,
Remnant II,Xbox / PC,Yes,Active,Nov 2023,,3.09,Jul 2023,0.35,80,19,Action-Adventure / Role-Playing / Shooter,Exclusive,,M,"Blood and Gore, Partial Nudity, Strong Language, Violence ",Region lock
Remnant: From the Ashes,Xbox / PC,Yes,Active,Nov 2023,,3.09,Aug 2019,4.28,81,14,Action / Role-Playing / Shooter,,"Returning title: Joined 11/14/19, left 5/15/22",M,"Blood, Strong Language, Violence",Region lock
Rollerdrome,Xbox / PC,Yes,Active,Nov 2023,,3.12,Aug 2022,1.28,79,5,Action,Exclusive,,,,
Persona 5: Tactica,Xbox / PC,Yes,Active,Nov 2023,,3.48,Nov 2023,0.00,75,23,Strategy / Role-Playing,,,RP,,
Spirittea,Xbox / PC,Yes,Active,Nov 2023,,3.62,Nov 2023,0.00,76,33,Strategy / Adventure / Role-Playing / Simulation,,,,,
Dungeons 4,Xbox / PC,Yes,Active,Nov 2023,,3.75,Nov 2023,0.00,76,27,Strategy / Simulation,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,Xbox / PC,Yes,Active,Nov 2023,,3.75,Nov 2023,0.00,79,11,Action-Adventure,,,RP,,
Wild Hearts,Xbox / PC,Yes,Active,Nov 2023,,3.75,Feb 2023,0.73,79,46,Action-Adventure,,,,,
Football Manager 2024,Xbox / PC,Yes,Active,Nov 2023,,3.85,Nov 2023,0.00,84,11,Simulation / Soccer,,,,,
Thirsty Suitors,Xbox / PC,Yes,Active,Nov 2023,,3.98,Nov 2023,0.00,80,8,Adventure / Role-Playing,,,,,
Headbangers: Rhythm Royale,Xbox / PC,Yes,Active,Oct 2023,,4.04,Oct 2023,0.00,74,4,Minigame Collection / Music/Rhythm,,,RP,,
Jusant,Xbox / PC,Yes,Active,Oct 2023,,4.04,Oct 2023,0.00,83,4,Adventure,,,RP,,
Wartales,Xbox / PC,Yes,Active,Oct 2023,,4.04,Dec 2021,1.92,80,38,Strategy / Adventure / Role-Playing,,,,,
Dead Space (2023),Xbox / PC,Yes,Active,Oct 2023,,4.21,Jan 2023,0.75,88,12,Shooter / Action-Adventure,Exclusive,,M,"Blood and Gore, Intense Violence, Strong Language",
Mineko's Night Market,Xbox / PC,Yes,Active,Oct 2023,,4.21,Sep 2023,0.08,66,18,Adventure,,,RP,,
Cities: Skylines II,PC,,Active,Oct 2023,,4.27,Oct 2023,0.00,75,25,Simulation,,,RP,,
F1 Manager 2023,Xbox / PC,Yes,Active,Oct 2023,,4.44,Jul 2023,0.22,79,16,Driving/Racing / Simulation,,,,,
Like a Dragon: Ishin!,Xbox / PC,Yes,Active,Oct 2023,,4.50,Feb 2023,0.65,81,24,Brawler / Action-Adventure,,,,,
From Space,Xbox / PC,Yes,Active,Oct 2023,,4.67,Oct 2023,0.00,60,13,Action / Shooter,,,,,
Forza Motorsport (2023),Xbox / PC,Yes,Active,Oct 2023,,4.73,Oct 2023,0.00,85,8,Driving/Racing,Exclusive,,RP,,
Gotham Knights,Xbox / PC,Yes,Active,Oct 2023,,4.96,Oct 2022,0.95,66,17,Role-Playing / Brawler / Action-Adventure,Exclusive,,RP,,Region lock
The Lamplighters League,Xbox / PC,Yes,Active,Oct 2023,,4.96,Oct 2023,0.00,76,26,Strategy / Role-Playing,Exclusive,,RP,,
Cocoon,Xbox / PC,,Active,Sep 2023,,5.10,Sep 2023,0.00,89,5,Puzzle,,,RP,,
Phoenix Wright: Ace Attorney Trilogy,Xbox / PC,Yes,Active,Sep 2023,,5.19,Apr 2012,11.48,80,66,Adventure / Compilation / Puzzle,,,T,"Violence, Blood, Suggestive Themes, Use of Tobacco",
PAYDAY 3,Xbox / PC,Yes,Active,Sep 2023,,5.36,Sep 2023,0.00,68,10,First-Person Shooter,Exclusive,,RP,,
Party Animals,Xbox,Yes,Active,Sep 2023,,5.39,Sep 2023,0.00,77,1,Fighting / Minigame Collection,,,RP,,
Lies of P,Xbox / PC,Yes,Active,Sep 2023,,5.42,Sep 2023,0.00,81,18,Role-Playing  Action-Adventure,,,RP,,
Solar Ash,Xbox / PC,Yes,Active,Sep 2023,,5.59,Dec 2021,1.78,78,6,Action,,,RP,,
Spiritfarer,Xbox / PC,Touch Controls,Active,Sep 2023,,5.62,Aug 2020,3.07,86,21,Adventure,,"Game Pass Core launch title (9/14/23), Joined 8/18/20, left 8/31/22",T,"Language, Use of Tobacco, Violent References",
Starfield,Xbox / PC,Yes,Active,Sep 2023,,5.85,Sep 2023,0.00,84,20,Role-Playing / Action-Adventure,Exclusive,,RP,,
GRIS,Xbox / PC,Yes,Active,Sep 2023,,5.88,Dec 2018,4.68,84,4,Puzzle / Platformer,,"Returning title: Joined 1/16/20, left 1/29/21",E,,
Call of the Wild: The Angler,Xbox / PC,,Active,Aug 2023,,6.12,Aug 2022,0.99,63,,Sports / Fishing,,,RP,,
Sea of Stars,Xbox / PC,Yes,Active,Aug 2023,,6.12,Aug 2023,0.00,90,20,Role-Playing,,,RP,,
The Texas Chainsaw Massacre,Xbox / PC,Yes,Active,Aug 2023,,6.48,Aug 2023,0.00,72,,Action,,,RP,,
Firewatch,Xbox / PC,Touch Controls,Active,Aug 2023,,6.51,Feb 2016,7.52,83,4,Adventure,,"Game Pass Core launch title (9/14/23), Returning title: Joined 2/16/21, left 12/15/22",M,"Nudity, Suggestive Themes, Alcohol Reference, Drug Reference, Strong Language",
Airborne Kingdom,Xbox / PC,Yes,Active,Aug 2023,,6.74,Dec 2020,2.65,76,8,Strategy / Real-Time Strategy,,,RP,,
Limbo,Xbox / PC,Yes,Active,Aug 2023,,6.77,Jul 2010,13.06,85,4,Puzzle / Platformer,,"Game Pass Core launch title (9/14/23), Returning title: Joined 8/1/17, left 6/15/22",T,"Blood, Violence",
Broforce Forever,Xbox / PC,Yes,Active,Aug 2023,,6.81,Aug 2023,0.00,80,,Action / Shooter / Platformer,,,RP,,
A Short Hike,Xbox / PC,Yes,Active,Aug 2023,,6.97,Jul 2019,4.01,82,2,Action-Adventure,,,E,,
Celeste,Xbox / PC,Touch Controls,Active,Aug 2023,,7.04,Jan 2018,5.52,91,8,Platformer,,"Game Pass Core launch title (9/14/23), Returning title: Joined 11/5/20, left 10/31/21",E10+,"Alcohol Reference, Fantasy Violence, Mild Language",
Venba,Xbox / PC,,Active,Jul 2023,,7.07,Jul 2023,0.00,79,2,Adventure,,,RP,,
Serious Sam: Siberian Mayhem,Xbox / PC,Yes,Active,Jul 2023,,7.27,Jan 2022,1.50,70,5,First-Person Shooter,Exclusive,,M,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes ",
Figment 2: Creed Valley,Xbox / PC,Yes,Active,Jul 2023,,7.43,Mar 2023,0.36,74,4,Action-Adventure,,,RP,,
The Wandering Village,Xbox / PC,Yes,Active,Jul 2023,,7.43,Sep 2022,0.85,,14,Strategy / Simulation,,,RP,,
Maquette,Xbox / PC,Yes,Active,Jul 2023,,7.46,Mar 2021,2.38,70,4,Puzzle,,,E10+,"Alcohol Reference, Lyrics ",
Techtonica (Game Preview),Xbox / PC,Yes,Active,Jul 2023,,7.50,Jul 2023,0.00,,,Strategy / Simulation,,,RP,,
TOEM,Xbox / PC,Yes,Active,Jul 2023,,7.50,Sep 2021,1.83,79,4,Adventure / Puzzle,,,RP,,
The Cave,Xbox,Yes,Active,Jul 2023,,7.50,Nov 2013,9.66,69,5,Adventure / Platformer,,,T,"Fantasy Violence, Blood",
Exoprimal,Xbox / PC,Yes,Active,Jul 2023,,7.63,Jul 2023,0.00,73,6,Action,,,M,"Blood, Strong Language, Violence",
Common'hood,Xbox / PC,Yes,Active,Jul 2023,,7.73,Nov 2022,0.67,,23,Simulation,,,RP,,
McPixel 3,Xbox / PC,Yes,Active,Jul 2023,,7.89,Nov 2022,0.64,75,5,Minigame Collection,,,RP,,
Sword and Fairy: Together Forever,Xbox / PC,Yes,Active,Jul 2023,,7.89,Oct 2021,1.71,73,24,Role-Playing / Action-Adventure,,,T,"Blood, Language, Use of Alcohol, Violence",
Arcade Paradise,Xbox / PC,,Active,Jul 2023,,7.99,Aug 2022,0.89,81,26,Simulation,,,T,"Blood, Fantasy Violence, Lyrics",
Story of Seasons: Friends of Mineral Town,Xbox / PC,,Active,Jun 2023,,8.12,Oct 2019,3.70,72,30,Simulation,,,E10+,"Comic Mischief, Suggestive Themes, Use of Alcohol",
Bramble: The Mountain King,Xbox / PC,Yes,Active,Jun 2023,,8.19,Apr 2023,0.17,80,5,Adventure / Platformer,,,M,"Blood and Gore, Intense Violence, Partial Nudity",
F.I.S.T.: Forged In Shadow Torch,Xbox / PC,Yes,Active,Jun 2023,,8.19,Sep 2021,1.80,81,12,Brawler / Platformer / Action-Adventure,Exclusive,,E10+,"Fantasy Violence, Language, Mild Suggestive Themes, Use of Alcohol",
Need for Speed: Unbound,Xbox / PC,Yes,Active,Jun 2023,,8.35,Nov 2022,0.56,77,23,Driving/Racing,Exclusive,,T,"Language, Mild Suggestive Themes, Mild Violence",
The Bookwalker: Thief of Tales,Xbox / PC,,Active,Jun 2023,,8.35,Jun 2023,0.00,75,6,Adventure,,,RP,,
Dordogne,Xbox / PC,Yes,Active,Jun 2023,,8.65,Jun 2023,0.00,74,4,Adventure / Puzzle,,,E,Mild Language,
Rune Factory 4: Special,Xbox / PC,Yes,Active,Jun 2023,,8.81,Jul 2012,10.89,82,39,Action / Role-Playing,,,T,"Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol",
Stacking,Xbox,Yes,Active,Jun 2023,,8.81,Feb 2011,12.34,82,4,Adventure / Puzzle,,,E10+,"Crude Humor, Use of Tobacco, Mild Fantasy Violence, Mild Suggestive Themes",
Amnesia: The Bunker,Xbox / PC,Yes,Active,Jun 2023,,8.88,Jun 2023,0.00,77,5,Adventure,,,RP,,
Hypnospace Outlaw,Xbox / PC,Yes,Active,Jun 2023,,8.88,Mar 2019,4.24,82,6,Adventure / Simulation / Puzzle,,"Returning title: Joined 18/27/20, left 2/28/22",T,"Violence, Blood, Suggestive Themes, Drug Reference",
Car Mechanic Simulator 2021,Xbox / PC,Yes,Active,Jun 2023,,9.04,Aug 2021,1.81,70,23,Simulation,,,E,,
Slayers X: Terminal Aftermath - Vengance of the Slayer,Xbox / PC,Yes,Active,Jun 2023,,9.04,Jun 2023,0.00,80,4,First-Person Shooter,,,RP,,
The Big Con,Xbox / PC,Yes,Active,Jun 2023,,9.04,Aug 2021,1.75,77,4,Adventure,,,T,"Language, Drug Reference, Use of Tobacco",
Chicory: A Colorful Tale,Xbox / PC,,Active,May 2023,,9.11,Jun 2021,1.97,90,10,Action-Adventure,,,E,"Mild Fantasy Violence, Comic Mischief",
Farworld Pioneers,Xbox / PC,,Active,May 2023,,9.11,May 2023,0.00,58,,Sandbox,,,RP,,
Massive Chalice,Xbox,Yes,Active,May 2023,,9.27,Jun 2015,7.99,72,16,Strategy / Role-Playing,,"Returning title: Joined 6/1/17, left 2/1/19",T,"Fantasy Violence, Alcohol Reference, Language",
Railway Empire 2,Xbox / PC,Yes,Active,May 2023,,9.30,May 2023,0.00,79,28,Strategy / Simulation,,,RP,,
PLANET OF LANA,Xbox / PC,Yes,Active,May 2023,,9.34,May 2023,0.00,80,5,Adventure / Puzzle,,,RP,,
Eastern Exorcist,Xbox / PC,,Active,May 2023,,9.50,Jul 2021,1.86,73,7,Action / Role-Playing,,,M,"Blood, Violence",
Supraland: Six Inches Under,Xbox / PC,Yes,Active,May 2023,,9.50,Jan 2022,1.34,86,8,Action-Adventure,,,RP,,
FIFA 23,Xbox / PC,Yes,Active,May 2023,,9.57,Oct 2021,1.62,78,94,Sports / Soccer,,,E,,
Fuga: Melodies of Steel 2,Xbox / PC,Yes,Active,May 2023,,9.73,May 2023,0.00,85,22,Strategy / Role-Playing,,,RP,,
Ravenlok,Xbox / PC,Yes,Active,May 2023,,9.96,May 2023,0.00,66,4,Action / Role-Playing,,,E10+,"Fantasy Violence, Mild Blood",
Redfall,Xbox / PC,Yes,Active,May 2023,,10.03,May 2023,0.00,55,11,First-Person Shooter,Exclusive,"Persistent online requirement, may be removed",M,"Blood, Drug Reference, Strong Language, Violence",
Besiege,Xbox / PC,Touch Controls,Active,May 2023,,10.06,Feb 2022,1.22,88,5,Strategy / Simulation,,"Returning title: Joined 2/10/22, left 2/15/23 while in game preview, rejoins post full release",T,"Violence, Blood and Gore",
BlazBlue: Cross Tag Battle - Special Edition,Xbox / PC,Yes,Active,Apr 2023,,10.19,May 2018,4.91,72,4,Fighting,,,T,"Language, Suggestive Themes, Violence",
The Last Case of Benedict Fox,Xbox / PC,,Active,Apr 2023,,10.19,Apr 2023,0.00,66,11,Horror,,,RP,,
Cassette Beasts,Xbox / PC,,Active,Apr 2023,,10.22,Apr 2023,0.00,83,17,Role-Playing,,Joined console 5/25/23,RP,,
Homestead Arcana,Xbox / PC,Yes,Active,Apr 2023,,10.39,Apr 2023,0.00,59,13,Sandbox,Exclusive,,E10+,Fantasy Violence,
Coffee Talk Episode 2: Hibiscus & Butterfly,Xbox / PC,Yes,Active,Apr 2023,,10.42,Apr 2023,0.00,78,7,Adventure,,,T,"Alcohol Reference, Language, Mild Suggestive Themes, Use of Tobacco",
Minecraft: Legends,Xbox / PC,Yes,Active,Apr 2023,,10.49,Apr 2023,0.00,69,8,Action / Strategy,Exclusive,,E10+,"Mild Blood, Violence, Mild Suggestive Themes, Language",
Everspace 2,Xbox / PC,Yes,Active,Apr 2023,,10.55,Jan 2021,2.24,81,22,Action / Shooter,Exclusive,Joins Xbox Series and cloud 8/15/23. 1.0 release 4/16/23 out of early accesss,T,,
Ghostwire: Tokyo,Xbox / PC,Yes,Active,Apr 2023,,10.68,Mar 2022,1.05,76,11,Action-Adventure,Exclusive,,T,"Language, Violence",
NHL 23,Xbox,,Active,Apr 2023,,10.65,Oct 2022,0.50,71,12,Sports / Hockey,,,E10+,Mild Violence,
Goat Simulator,Xbox / PC,Yes,Active,Apr 2023,,10.95,Apr 2014,9.01,58,2,Simulation,,"Returning title: Joined 6/27/19, left 3/215/23",T,"Blood, Violence",
Loop Hero,Xbox / PC,,Active,Apr 2023,,10.95,Mar 2021,2.08,82,29,Strategy / Card Game,,,T,"Fantasy Violence, Language, Mild Suggestive Themes",
INFINITE GUITARS,Xbox / PC,Yes,Active,Mar 2023,,11.11,Dec 2022,0.29,55,12,Role-Playing / Music/Rhythm,,,E10+,"Fantasy Violence, Mild Language",
MLB The Show 23,Xbox,Yes,Active,Mar 2023,,11.18,Mar 2023,0.00,80,57,Sports / Baseball,,,E,,
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,Xbox / PC,,Active,Mar 2023,,11.41,Mar 2018,5.00,81,39,Action / Role-Playing,,,T,"Fantasy Violence, Mild Blood",
Guilty Gear -Strive-,Xbox / PC,Yes,Active,Mar 2023,,11.87,Jun 2021,1.74,85,5,Fighting,,,T,"Blood, Language, Mild Suggestive Themes, Violence",
Wo Long: Fallen Dynasty,Xbox / PC,Yes,Active,Mar 2023,,12.00,Mar 2023,0.00,80,29,Action,,,M,"Blood and Gore, Violence",
F1 22,Xbox / PC,,Active,Mar 2023,,12.03,Jun 2022,0.68,81,23,Driving/Racing / Simulation,,,E,,
Merge & Blade,Xbox / PC,Yes,Active,Feb 2023,,12.10,Feb 2023,0.00,70,8,Puzzle,,,E10+,"Fantasy Violence, Mild Blood",
Atomic Heart,Xbox / PC,Yes,Active,Feb 2023,,12.33,Feb 2023,0.00,72,16,Adventure / First-Person Shooter,,,M,"Intense Violence, Blood and Gore, Nudity, Language",
Shadow Warrior 3: Definitive Edition,Xbox / PC,Yes,Active,Feb 2023,,12.49,Mar 2022,0.96,71,6,First-Person Shooter / Action-Adventure,,,M,"Blood and Gore, Intense Violence, Mild Sexual Themes, Strong Language",
Mount & Blade II: Bannerlord,Xbox / PC,Yes,Active,Feb 2023,,12.56,Mar 2020,2.88,75,39,Action / Adventure / Role-Playing / Simulation,,,M,"Blood, Violence",
Madden NFL 23,Xbox / PC,,Active,Feb 2023,,12.72,Aug 2022,0.48,69,28,Sports / Football,,,E,Mild Lyrics,
SD Gundam Battle Alliance,Xbox / PC,Yes,Active,Feb 2023,,12.72,Aug 2022,0.46,71,11,Action / Strategy / Role-Playing,,,T,"Fantasy Violence, Mild Blood, Mild Language, Use of Alcohol",
Hot Wheels Unleashed: Game of the Year Edition,Xbox / PC,Yes,Active,Feb 2023,,12.79,Sep 2021,1.36,72,9,Driving/Racing,,,E,,
Darkest Dungeon,Xbox / PC,Yes,Active,Feb 2023,,12.95,Jan 2016,7.04,84,56,Role-Playing,,,T,"Fantasy Violence, Mild Blood, Sexual Themes, Partial Nudity",
Inkulinati (Game Preview),Xbox / PC,Yes,Active,Jan 2023,,13.02,Jan 2023,0.00,,,Strategy,,,E,"Mild Fantasy Violence, Mild Language, Comic Mischief",
JoJo's Bizarre Adventure: All-Star Battle R,Xbox / PC,Yes,Active,Jan 2023,,13.02,Sep 2022,0.42,73,10,Fighting,,,T,"Language, Mild Blood, Suggestive Themes, Use of Tobacco, Violence",
GoldenEye 007 (2023),Xbox,Yes,Active,Jan 2023,,13.15,Jan 2023,0.00,96,10,First-Person Shooter,,,T,,
Hi-Fi RUSH,Xbox / PC,Yes,Active,Jan 2023,,13.22,Jan 2023,0.00,89,10,Action / Music/Rhythm,Exclusive,,T,"Fantasy Violence, Language",
Monster Hunter: Rise,Xbox / PC,Yes,Active,Jan 2023,,13.38,Mar 2021,1.82,86,21,Action / Role-Playing,,,T,"Alcohol Reference, Blood, Violence",
Stranded Deep,Xbox / PC,Yes,Active,Jan 2023,,13.94,Jan 2015,7.95,75,18,Adventure / Simulation,,,T,"Blood, Crude Humor, Mild Violence",
Crysis 2: Remastered,PC,,Active,Dec 2022,,14.86,Oct 2021,1.14,70,9,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Crysis 3: Remastered,PC,,Active,Dec 2022,,14.86,Oct 2021,1.14,80,7,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Crysis Trilogy: Remastered,PC,,Active,Dec 2022,,14.86,Oct 2021,1.14,80,26,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Rainbow Billy: The Curse of the Leviathan,Xbox / PC,Yes,Active,Dec 2022,,14.56,Oct 2021,1.19,86,12,Role-Playing / Action-Adventure,,,E,,
High on Life,Xbox / PC,Yes,Active,Dec 2022,,14.63,Dec 2022,0.00,67,9,First-Person Shooter,,,M,"Violence, Blood, Sexual Themes, Use of Drugs, Strong Language, Crude Humor",
League of Legends,PC,,Active,Dec 2022,,14.66,Oct 2009,13.13,78,1439,MOBA,,LoL: Wild Rift (mobile game) perks included,T,"Blood, Language, Violence",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Legends of Runeterra,PC,,Active,Dec 2022,,14.66,Apr 2020,2.62,87,44,Card Game,,Mobile game perks included,T,"Alcohol Reference, Blood, Fantasy Violence, Mild Suggestive Themes",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Teamfight Tactics,PC,,Active,Dec 2022,,14.66,Jun 2019,3.46,79,71,Strategy / Trivia/Board Game,,Mobile game perks included,T,"Violence, Blood, Suggestive Themes",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Valorant,PC,,Active,Dec 2022,,14.66,Jun 2020,2.53,80,65,First-Person Shooter / MOBA,,,T,"Blood, Language, Violence",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Hello Neighbor 2,Xbox / PC,Yes,Active,Dec 2022,,14.86,Dec 2022,0.00,56,5,Strategy / Puzzle,,,E10+,Mild Violence,
LEGO Star Wars: The Skywalker Saga,Xbox / PC,Yes,Active,Dec 2022,,14.86,Apr 2022,0.67,80,19,Shooter / Brawler / Action-Adventure,,,E10+,"Cartoon Violence, Comic Mischief",
The Walking Dead: The Final Season,Xbox / PC,Yes,Active,Dec 2022,,15.02,Aug 2018,4.30,78,10,Adventure,,,M,"Blood and Gore, Intense Violence, Strong Language",
"Warhammer 40,000: Darktide",Xbox / PC,Yes,Active,Nov 2022,,15.06,Nov 2022,0.00,78,41,Action,Exclusive,Joined cloud and console 10/4/23,M,"Intense Violence, Blood and Gore",
Insurgency: Sandstorm,Xbox / PC,Yes,Active,Nov 2022,,15.09,Sep 2018,4.20,80,33,Action / Shooter,,Joined PC 7/11/23,M,"Blood and Gore, Strong Language, Violence",
Soccer Story,Xbox / PC,Yes,Active,Nov 2022,,15.09,Nov 2022,0.00,71,10,Role-Playing / Soccer,,,E,,
Battlefield 2042,Xbox / PC,Yes,Active,Nov 2022,,15.32,Nov 2021,1.03,66,58,First-Person Shooter,,,M,"Blood, Strong Language, Violence",Seperate Xbox Gen8 (Xbox One) and Gen9 (Xbox Series X|S) versions (Not Smart Delivery enabled)
